source,plot,abund,id
Phyllosphere,phyllosphere-sep7,0.072463768,Sphingobacteria
Phyllosphere,phyllosphere-w,0.072727273,Acidobacteria
Phyllosphere,phyllosphere-w,0.072727273,Actinobacteria
Phyllosphere,phyllosphere-w,0.090909091,Alphaproteobacteria
Phyllosphere,phyllosphere-w,0.163636364,Bacilli
Phyllosphere,phyllosphere-w,0.072727273,Betaproteobacteria
Phyllosphere,phyllosphere-w,0.072727273,Clostridia
Phyllosphere,phyllosphere-w,0.036363636,Deltaproteobacteria
Phyllosphere,phyllosphere-w,0.109090909,Gammaproteobacteria
Phyllosphere,phyllosphere-w,0.018181818,PAUC37f
Phyllosphere,phyllosphere-w,0.236363636,Solibacteres
Phyllosphere,phyllosphere-w,0.054545455,Sphingobacteria
Skin,F13-Ewax,0.331174089,Actinobacteria
Skin,F13-Ewax,0.665587045,Bacilli
Skin,F13-Ewax,0.003238866,Betaproteobacteria
Skin,F13-Fotl,0.001010101,Acidobacteria
Skin,F13-Fotl,0.135353535,Actinobacteria
Skin,F13-Fotl,0.011111111,Alphaproteobacteria
Skin,F13-Fotl,0.818181818,Bacilli
Skin,F13-Fotl,0.018181818,Betaproteobacteria
Skin,F13-Fotl,0.004040404,Chloroplast
Skin,F13-Fotl,0.001010101,Clostridia
Skin,F13-Fotl,0.002020202,Deinococci
Skin,F13-Fotl,0.005050505,Gammaproteobacteria
Skin,F13-Fotl,0.003030303,Sphingobacteria
Skin,F13-Fotl,0.001010101,TM7-1
Skin,F13-Fotr,0.309849029,Actinobacteria
Skin,F13-Fotr,0.002875629,Alphaproteobacteria
Skin,F13-Fotr,0.670740474,Bacilli
Skin,F13-Fotr,0.001437815,Bacteroidia
Skin,F13-Fotr,0.002875629,Betaproteobacteria
Skin,F13-Fotr,0.00790798,Chloroplast
Skin,F13-Fotr,0.002156722,Clostridia
Skin,F13-Fotr,0.001437815,Gammaproteobacteria
Skin,F13-Fotr,0.000718907,Sphingobacteria
Skin,F13-Frhd,0.921157685,Actinobacteria
Skin,F13-Frhd,0.015968064,Alphaproteobacteria
Skin,F13-Frhd,0.022954092,Bacilli
Skin,F13-Frhd,0.003992016,Bacteroidia
Skin,F13-Frhd,0.012974052,Betaproteobacteria
Skin,F13-Frhd,0.000998004,CH21
Skin,F13-Frhd,0.00499002,Chloroplast
Skin,F13-Frhd,0.003992016,Clostridia
Skin,F13-Frhd,0.000998004,Deltaproteobacteria
Skin,F13-Frhd,0.001996008,Flavobacteria
Skin,F13-Frhd,0.008982036,Gammaproteobacteria
Skin,F13-Frhd,0.000998004,Sphingobacteria
Skin,F13-Knee,0.000808407,4C0d-2
Skin,F13-Knee,0.512530315,Actinobacteria
Skin,F13-Knee,0.036378335,Alphaproteobacteria
Skin,F13-Knee,0.172190784,Bacilli
Skin,F13-Knee,0.033144705,Bacteroidia
Skin,F13-Knee,0.024252223,Betaproteobacteria
Skin,F13-Knee,0.000808407,Bljii12
Skin,F13-Knee,0.000808407,Chloracidobacteria
Skin,F13-Knee,0.061438965,Chloroplast
Skin,F13-Knee,0.103476152,Clostridia
Skin,F13-Knee,0.001616815,Deinococci
Skin,F13-Knee,0.000808407,Deltaproteobacteria
Skin,F13-Knee,0.004850445,Flavobacteria
Skin,F13-Knee,0.000808407,Fusobacteria
Skin,F13-Knee,0.03799515,Gammaproteobacteria
Skin,F13-Knee,0.001616815,Gemmatimonadetes
Skin,F13-Knee,0.001616815,SOGA31
Skin,F13-Knee,0.004042037,Sphingobacteria
Skin,F13-Knee,0.000808407,Spirochaetes
Skin,F13-Nost,0.597222222,Actinobacteria
Skin,F13-Nost,0.00308642,Alphaproteobacteria
Skin,F13-Nost,0.38117284,Bacilli
Skin,F13-Nost,0.00462963,Betaproteobacteria
Skin,F13-Nost,0.002314815,Chloroplast
Skin,F13-Nost,0.006944444,Clostridia
Skin,F13-Nost,0.000771605,Epsilonproteobacteria
Skin,F13-Nost,0.000771605,Gammaproteobacteria
Skin,F13-Nost,0.002314815,Sphingobacteria
Skin,F13-Nost,0.000771605,Thermomicrobia
Skin,F13-Plml,0.68040293,Actinobacteria
Skin,F13-Plml,0.04029304,Alphaproteobacteria
Skin,F13-Plml,0.000915751,Anaerolineae
Skin,F13-Plml,0.091575092,Bacilli
Skin,F13-Plml,0.000915751,Bacteroidia
Skin,F13-Plml,0.076007326,Betaproteobacteria
Skin,F13-Plml,0.000915751,Chloroflexi
Skin,F13-Plml,0.007326007,Chloroplast
Skin,F13-Plml,0.008241758,Clostridia
Skin,F13-Plml,0.000915751,Deltaproteobacteria
Skin,F13-Plml,0.010989011,Flavobacteria
Skin,F13-Plml,0.003663004,Fusobacteria
Skin,F13-Plml,0.06043956,Gammaproteobacteria
Skin,F13-Plml,0.000915751,Gemmatimonadetes
Skin,F13-Plml,0.000915751,SOGA31
Skin,F13-Plml,0.012820513,Sphingobacteria
Skin,F13-Plml,0.002747253,TM7-3
Skin,F13-Plmr,0.002166847,Acidobacteria
Skin,F13-Plmr,0.51787649,Actinobacteria
Skin,F13-Plmr,0.095341278,Alphaproteobacteria
Skin,F13-Plmr,0.130010834,Bacilli
Skin,F13-Plmr,0.009750813,Bacteroidia
Skin,F13-Plmr,0.055254605,Betaproteobacteria
Skin,F13-Plmr,0.049837486,Chloroplast
Skin,F13-Plmr,0.042253521,Clostridia
Skin,F13-Plmr,0.002166847,Deltaproteobacteria
Skin,F13-Plmr,0.007583965,Flavobacteria
Skin,F13-Plmr,0.002166847,Fusobacteria
Skin,F13-Plmr,0.044420368,Gammaproteobacteria
Skin,F13-Plmr,0.002166847,Gemmatimonadetes
Skin,F13-Plmr,0.001083424,SOGA31
Skin,F13-Plmr,0.033586132,Sphingobacteria
Skin,F13-Plmr,0.003250271,Thermomicrobia
Skin,F13-Plmr,0.001083424,VC12-cl04
Skin,M14-Ewax,0.304803976,Actinobacteria
Skin,M14-Ewax,0.695196024,Bacilli
Skin,M14-Fotl,0.072289157,Actinobacteria
Skin,M14-Fotl,0.018932874,Alphaproteobacteria
Skin,M14-Fotl,0.875215146,Bacilli
Skin,M14-Fotl,0.003442341,Bacteroidia
Skin,M14-Fotl,0.003442341,Betaproteobacteria
Skin,M14-Fotl,0.003442341,Chloroplast
Skin,M14-Fotl,0.016351119,Clostridia
Skin,M14-Fotl,0.00172117,Flavobacteria
Skin,M14-Fotl,0.003442341,Gammaproteobacteria
Skin,M14-Fotl,0.00172117,Sphingobacteria
Skin,M14-Fotr,0.000915751,Acidobacteria
Skin,M14-Fotr,0.080586081,Actinobacteria
Skin,M14-Fotr,0.041208791,Alphaproteobacteria
Skin,M14-Fotr,0.001831502,Anaerolineae
Skin,M14-Fotr,0.831501832,Bacilli
Skin,M14-Fotr,0.001831502,Bacteroidia
Skin,M14-Fotr,0.004578755,Betaproteobacteria
Skin,M14-Fotr,0.001831502,Chloroplast
Skin,M14-Fotr,0.018315018,Clostridia
Skin,M14-Fotr,0.000915751,Deinococci
Skin,M14-Fotr,0.000915751,Flavobacteria
Skin,M14-Fotr,0.000915751,Fusobacteria
Skin,M14-Fotr,0.005494505,Gammaproteobacteria
Skin,M14-Fotr,0.000915751,Gemmatimonadetes
Skin,M14-Fotr,0.000915751,iii1-8
Skin,M14-Fotr,0.005494505,Sphingobacteria
Skin,M14-Fotr,0.000915751,Thermomicrobia
Skin,M14-Fotr,0.000915751,TM7-1
Skin,M14-Frhd,0.792654935,Actinobacteria
Skin,M14-Frhd,0.094873757,Alphaproteobacteria
Skin,M14-Frhd,0.003825555,Bacilli
Skin,M14-Frhd,0.000765111,Clostridia
Skin,M14-Frhd,0.009946442,Deinococci
Skin,M14-Frhd,0.09716909,Gammaproteobacteria
Skin,M14-Frhd,0.000765111,Sphingobacteria
Skin,M14-Knee,0.576982893,Actinobacteria
Skin,M14-Knee,0.020995334,Alphaproteobacteria
Skin,M14-Knee,0.028771384,Bacilli
Skin,M14-Knee,0.037325039,Bacteroidia
Skin,M14-Knee,0.00155521,Betaproteobacteria
Skin,M14-Knee,0.003888025,Chloroplast
Skin,M14-Knee,0.285381026,Clostridia
Skin,M14-Knee,0.01088647,Deinococci
Skin,M14-Knee,0.000777605,Epsilonproteobacteria
Skin,M14-Knee,0.00155521,Flavobacteria
Skin,M14-Knee,0.031881804,Gammaproteobacteria
Skin,M14-Nost,0.595238095,Actinobacteria
Skin,M14-Nost,0.001763668,Alphaproteobacteria
Skin,M14-Nost,0.188712522,Bacilli
Skin,M14-Nost,0.001763668,Bacteroidia
Skin,M14-Nost,0.134038801,Clostridia
Skin,M14-Nost,0.075837743,Gammaproteobacteria
Skin,M14-Nost,0.000881834,Gemmatimonadetes
Skin,M14-Nost,0.001763668,Sphingobacteria
Skin,M14-Plml,0.62478286,Actinobacteria
Skin,M14-Plml,0.160393746,Alphaproteobacteria
Skin,M14-Plml,0.015055009,Bacilli
Skin,M14-Plml,0.001158078,Bacteroidia
Skin,M14-Plml,0.009264621,Betaproteobacteria
Skin,M14-Plml,0.000579039,Chloroflexi
Skin,M14-Plml,0.002895194,Chloroplast
Skin,M14-Plml,0.008106543,Clostridia
Skin,M14-Plml,0.01910828,Deinococci
Skin,M14-Plml,0.158077591,Gammaproteobacteria
Skin,M14-Plml,0.000579039,Sphingobacteria
Skin,M14-Plmr,0.580094787,Actinobacteria
Skin,M14-Plmr,0.166824645,Alphaproteobacteria
Skin,M14-Plmr,0.008530806,Bacilli
Skin,M14-Plmr,0.000947867,Bacteroidia
Skin,M14-Plmr,0.001895735,Betaproteobacteria
Skin,M14-Plmr,0.002843602,Chloroplast
Skin,M14-Plmr,0.006635071,Clostridia
Skin,M14-Plmr,0.012322275,Deinococci
Skin,M14-Plmr,0.213270142,Gammaproteobacteria
Skin,M14-Plmr,0.002843602,S15B-MN24
Skin,M14-Plmr,0.003791469,Sphingobacteria
Soil,soil,0.12244898,Acidobacteria
Soil,soil,0.129251701,Actinobacteria
Soil,soil,0.129251701,Alphaproteobacteria
Soil,soil,0.040816327,Armatimonadia
Soil,soil,0.013605442,Bacilli
Soil,soil,0.034013605,Betaproteobacteria
Soil,soil,0.006802721,Bljii12
Soil,soil,0.006802721,CH21
Soil,soil,0.020408163,Chloracidobacteria
Soil,soil,0.006802721,Chloroflexi
Soil,soil,0.006802721,Chloroflexi-4
Soil,soil,0.013605442,Chloroplast
Soil,soil,0.020408163,Deltaproteobacteria
Soil,soil,0.020408163,Elusimicrobia
Soil,soil,0.006802721,Gammaproteobacteria
Soil,soil,0.081632653,Gemmatimonadetes
Soil,soil,0.006802721,JG37-AG-4
Soil,soil,0.020408163,Oscillatoriophycideae
Soil,soil,0.047619048,Planctomycea
Soil,soil,0.006802721,S1a-1H
Soil,soil,0.034013605,Solibacteres
Soil,soil,0.034013605,Spartobacteria
Soil,soil,0.149659864,Sphingobacteria
Soil,soil,0.006802721,Thermomicrobia
Soil,soil,0.027210884,TM7-1
Soil,soil,0.006802721,Verrucomicrobiae
Soil,soil-BacA,0.026315789,0319-6G9
Soil,soil-BacA,0.065789474,Acidobacteria
Soil,soil-BacA,0.065789474,Actinobacteria
Soil,soil-BacA,0.263157895,Alphaproteobacteria
Soil,soil-BacA,0.013157895,Betaproteobacteria
Soil,soil-BacA,0.013157895,Bljii12
Soil,soil-BacA,0.052631579,Chloracidobacteria
Soil,soil-BacA,0.065789474,Deltaproteobacteria
Soil,soil-BacA,0.013157895,Flavobacteria
Soil,soil-BacA,0.078947368,Gammaproteobacteria
Soil,soil-BacA,0.026315789,Gemmatimonadetes
Soil,soil-BacA,0.013157895,iii1-8
Soil,soil-BacA,0.013157895,Ktedonobacteria
Soil,soil-BacA,0.026315789,Opitutae
Soil,soil-BacA,0.013157895,Phycisphaerae
Soil,soil-BacA,0.026315789,Planctomycea
Soil,soil-BacA,0.013157895,RB25
Soil,soil-BacA,0.052631579,Solibacteres
Soil,soil-BacA,0.026315789,Spartobacteria
Soil,soil-BacA,0.052631579,Sphingobacteria
Soil,soil-BacA,0.078947368,Verrucomicrobiae
Soil,soil-BacB,0.028985507,0319-6G9
Soil,soil-BacB,0.014492754,5B-18
Soil,soil-BacB,0.014492754,ABS-6
Soil,soil-BacB,0.014492754,Acidobacteria-5
